CalendarYear,CalendarPeriod,CalendarWeek,ServiceGroup4,ProdGrp1,OpJourneys on selDates,OpMiles on selDates,
2016,2016/P04,2016/W14,Inter7City,Commuter,"28,656","764,197",
2016,2016/P04,2016/W14,Scenic,Commuter,"11,103","199,109",
2016,2016/P04,2016/W14,West Suburban,Commuter,"331,427","3,623,680",
2016,2016/P04,2016/W14,East Suburban,Off-Peak,"115,328","2,318,666",
2016,2016/P04,2016/W14,eXpress,Off-Peak,"66,258","2,446,571",
2016,2016/P04,2016/W14,Inter7City,Off-Peak,"127,426","7,938,489",
2016,2016/P04,2016/W14,Scenic,Off-Peak,"54,780","2,225,541",
2016,2016/P04,2016/W14,West Suburban,Off-Peak,"678,043","7,471,391",
2016,2016/P04,2016/W14,East Suburban,Peak,"78,926","1,493,174",
2016,2016/P04,2016/W14,eXpress,Peak,"31,790","1,079,379",
2016,2016/P04,2016/W14,Inter7City,Peak,"72,724","3,797,825",
2016,2016/P04,2016/W14,Scenic,Peak,"28,443","989,464",
2016,2016/P04,2016/W14,West Suburban,Peak,"314,192","4,036,196",
2016,2016/P04,2016/W15,East Suburban,Commuter,"67,797","1,143,494",
2016,2016/P04,2016/W15,eXpress,Commuter,"28,038","812,284",
2016,2016/P04,2016/W15,Inter7City,Commuter,"25,578","687,107",
2016,2016/P04,2016/W15,Scenic,Commuter,"9,825","180,895",
2016,2016/P04,2016/W15,West Suburban,Commuter,"285,742","3,147,922",
2016,2016/P04,2016/W15,East Suburban,Off-Peak,"71,275","1,449,040",
2016,2016/P04,2016/W15,eXpress,Off-Peak,"46,896","1,728,222",
2016,2016/P04,2016/W15,Inter7City,Off-Peak,"84,081","5,506,695",
2016,2016/P04,2016/W15,Scenic,Off-Peak,"33,377","1,371,192",
2016,2016/P04,2016/W15,West Suburban,Off-Peak,"505,893","5,664,021",
2016,2016/P04,2016/W15,East Suburban,Peak,"63,443","1,181,530",
2016,2016/P04,2016/W15,eXpress,Peak,"26,163","909,465",
2016,2016/P04,2016/W15,Inter7City,Peak,"56,617","2,995,442",
2016,2016/P04,2016/W15,Scenic,Peak,"21,147","693,792",
2016,2016/P04,2016/W15,West Suburban,Peak,"240,311","3,118,690",
2016,2016/P04,2016/W16,East Suburban,Commuter,"69,634","1,182,710",
2016,2016/P04,2016/W16,eXpress,Commuter,"30,752","881,675",
2016,2016/P04,2016/W16,Inter7City,Commuter,"28,054","743,304",
2016,2016/P04,2016/W16,Scenic,Commuter,"10,392","192,205",
2016,2016/P04,2016/W16,West Suburban,Commuter,"315,675","3,470,765",
2016,2016/P04,2016/W16,East Suburban,Off-Peak,"65,971","1,311,049",
2016,2016/P04,2016/W16,eXpress,Off-Peak,"46,403","1,750,945",
